p1,p2,p3,p4,p5,sd_p1,sd_p2,sd_p3,sd_p4,sd_p5
0.007007007007007011,0.041173853853853866,0.21428056056056055,0.5785922722722723,0.1589292892892893,4.3808383333810685e-18,6.455579551068385e-5,0.0007373842838863165,0.001077298758405095,0.001800934453338333
0.007007007007007011,0.04117705705705704,0.21426130130130133,0.5785513513513515,0.15898658658658657,4.3808383333810685e-18,5.684202261309696e-5,0.0006100547990758101,0.0012649482591420818,0.001841949444085836
0.008008008008008,0.05454054054054053,0.3077086686686687,0.5912414414414414,0.03850134134134134,8.761676666762137e-18,7.819375440865096e-5,0.0008668992066588814,0.0005147247588730182,0.0007249978170880399
0.008008008008008,0.05451951951951952,0.3075765765765765,0.5913339739739741,0.03856192192192191,8.761676666762137e-18,7.727752072643482e-5,0.0008427488709340496,0.00045136145068293287,0.0007268294747175034
0.008008008008008,0.05453333333333333,0.3074751951951951,0.5913764964964965,0.03860696696696697,8.761676666762137e-18,8.514550822860769e-5,0.0008407270176692625,0.0003830527638138298,0.0007755750556324077
0.009009009009009016,0.06954222222222221,0.4081077077077078,0.5086484084084082,0.0046926526526526536,7.00934133340971e-18,0.00011796228019712548,0.0011936839269024312,0.0011331024277495068,0.00019740256456182617
0.009009009009009016,0.06952156156156158,0.4079520720720722,0.5088103703703702,0.004706986986986986,7.00934133340971e-18,0.00011178147663304786,0.0011816838537209399,0.0011299011883743673,0.00019423989410560126
0.010010010010010008,0.08611607607607606,0.5071643243243243,0.39647027027027026,0.00023931931931931932,1.7523353333524276e-18,0.0001441143436925953,0.0012205774564575781,0.0013313769032070341,2.7938026905741113e-5
0.010010010010010008,0.0861305305305305,0.5070876876876876,0.39653909909909907,0.00023267267267267265,1.7523353333524276e-18,0.0001344298702475099,0.0011370835647703185,0.0012272901136863332,2.7427084463522046e-5
0.011011011011010999,0.10421841841841842,0.5960973373373374,0.28866966966966967,3.5635635635635638e-6,1.2266347333466993e-17,0.0001303140146778851,0.0009792759121996925,0.0010577947245114419,2.4365478763047475e-6
0.011011011011010999,0.10419427427427429,0.5958445645645646,0.28894618618618617,3.963963963963963e-6,1.2266347333466993e-17,0.00015199614826026038,0.0010660945801626094,0.0011855639432233115,2.8164857438261533e-6
