k_avg,Δλ_avg,σ_Δλ
7.0,0.9978600166375754,1.6724998434329186e-5
8.0,0.997231670655531,2.6239787735109737e-5
8.0,0.997247869159651,1.8566302993887912e-5
9.0,0.9966032873956312,2.4356515459954185e-5
10.0,0.9959470458309007,3.631559881836486e-5
11.0,0.995259627705185,4.757633170558044e-5
13.0,0.9938484276220347,2.4512521247502055e-5
14.0,0.99311488091396,2.964878287795648e-5
16.0,0.9916184210662695,3.966195115541726e-5
17.0,0.9908800341212313,4.295116001043401e-5
19.0,0.9893440846291771,2.549455226853393e-5
21.0,0.9877789813170299,5.530142149537666e-5
23.0,0.9862200636805577,3.9501394603452616e-5
26.0,0.9838098305213696,7.16738532526726e-5
29.0,0.9813366549469613,4.9253995879255876e-5
32.0,0.9788850703018488,6.805147773921664e-5
35.0,0.9763545387682967,7.818029896507438e-5
39.0,0.9729962322446033,8.464287299742471e-5
43.0,0.9695794041833175,6.774072818537075e-5
48.0,0.9652780747576646,0.00010120272947911584
53.0,0.9609054508053063,6.062035502808117e-5
58.0,0.9565168876427033,5.4584918728548754e-5
64.0,0.9511906233149698,5.657505941856256e-5
71.0,0.9449604557026017,9.019780064592042e-5
79.0,0.9377319221258036,0.00010318916999764806
87.0,0.9305019631718073,0.00011755711145519895
97.0,0.921412749173658,8.668444649672913e-5
107.0,0.9121595523388372,0.00010452590792225925
118.0,0.9021159819071343,8.33517408716009e-5
131.0,0.8900073471930728,0.00014517329828144345
145.0,0.8769367187737986,0.00012172687236757022
161.0,0.8618851421591867,0.00015345417458715154
178.0,0.8457985560798988,9.515516643223702e-5
197.0,0.8277986246253377,0.00013811124320034228
218.0,0.8076926273308734,9.467792505054265e-5
241.0,0.7855441272990604,0.00013842400308261294
267.0,0.7605103148855348,0.00013594664566382987
295.0,0.7333357160113435,0.00019827227604694614
327.0,0.7021020740532575,0.00021136791963651796
362.0,0.6678225296330744,0.00018949768560185025
401.0,0.6293046586854938,0.00017826681099504117
443.0,0.587708077595545,9.3175482929604e-5
491.0,0.5399209330096744,0.00018577849565683277
543.0,0.48764047618746176,0.00014599729342878063
601.0,0.42905400356841933,0.00025928900817782805
666.0,0.3628929514071616,0.00023693104342071474
737.0,0.28989318285679533,0.00019146614347045375
815.0,0.20850302501970827,0.00015322741795863371
903.0,0.11449772355536894,8.884684656618504e-5
999.0,6.366462912410497e-16,4.088513366168983e-16
