k_avg,Δλ_avg,σ_Δλ
6.894600000000001,0.9993125421802181,0.00014079376759838324
7.667400000000001,0.9992126787515797,6.420398862968788e-5
8.4114,0.9991593953697725,6.357633896475202e-5
9.3594,0.9987122543420679,0.00037547796018653226
10.2878,0.998050928640858,0.000342929106393191
11.4744,0.997932637492779,0.0006228614065546962
12.7166,0.9974371146487029,0.0007427835749979788
14.0672,0.9967048329376693,0.0005897658404871558
15.540599999999998,0.9959318978154321,0.0008402321221754832
17.2214,0.9948324764714712,0.0007869946013730669
19.0594,0.9940557315804892,0.0011296517856587203
21.122,0.9924465773662272,0.00111738977286122
23.2994,0.9911173328343171,0.0008389148098486234
25.9478,0.9897308578610714,0.0006233240565691808
28.564599999999995,0.9881953462745034,0.0013297447671486312
31.774199999999997,0.985682494662561,0.0014776591315393377
34.9282,0.9830237601795254,0.0012622667001180796
38.7778,0.9813273175804615,0.0016825564964547235
42.7122,0.9782523027212668,0.0013192683922977778
47.582,0.9742082726207922,0.0018438649201953485
52.4388,0.97055804482287,0.001354785074842577
58.2976,0.9669551559251897,0.002941130986942912
64.46919999999999,0.9605712474022752,0.0017665797940525304
71.09620000000001,0.9556390239846756,0.0018301418929373156
78.9224,0.9497332031786486,0.0026528818793744914
87.2544,0.9431404508188763,0.002947756753998982
96.60520000000001,0.9335064789031285,0.00206668476542861
106.8924,0.9261592819193227,0.002484698369069282
118.37819999999999,0.9147615484799612,0.0021877116093614846
131.20499999999998,0.9048674276881009,0.003118449099933758
145.0804,0.8924801224760188,0.003156073076641225
160.8262,0.8794117458676934,0.005037671559905085
178.2098,0.8625769884432689,0.002148104555201975
196.68540000000002,0.8448021523950168,0.0033636886363509894
217.9998,0.8280475548943743,0.0034449593931829684
241.1476,0.8095965403801901,0.005115950137183638
266.6374,0.7825432695886418,0.0029334492848116633
295.8538,0.7546082073395044,0.004587045606695524
326.831,0.7261897482106319,0.004372820279614073
362.0072,0.6935925332162907,0.004053453151745727
400.5006,0.6560120077666695,0.005951219269058071
443.747,0.6154462543443096,0.007602725460102728
490.8238,0.567913057756164,0.005035911365214729
542.9682,0.5127999387717047,0.004110336605921949
601.2332,0.4543949136557635,0.003538286563160733
665.517,0.3883369336906143,0.006571279717935684
736.7216,0.31345116816736535,0.0049062009631583945
815.4898,0.22947076078880252,0.004647263907955499
902.6140000000001,0.13044197023489812,0.0025163310218680296
999.0,6.366462912410497e-16,4.088513366168983e-16
