deg1,deg2
25.0,524.0
27.0,558.0
35.0,621.0
27.0,546.0
35.0,642.0
23.0,472.0
30.0,580.0
29.0,585.0
23.0,527.0
30.0,575.0
35.0,613.0
36.0,659.0
33.0,606.0
31.0,599.0
27.0,570.0
37.0,646.0
33.0,615.0
23.0,490.0
29.0,562.0
21.0,466.0
29.0,594.0
24.0,496.0
30.0,582.0
37.0,635.0
34.0,635.0
31.0,595.0
34.0,630.0
28.0,548.0
32.0,605.0
33.0,599.0
32.0,591.0
36.0,637.0
43.0,711.0
21.0,456.0
31.0,613.0
37.0,666.0
36.0,662.0
39.0,662.0
34.0,611.0
31.0,564.0
33.0,622.0
28.0,587.0
34.0,619.0
25.0,518.0
34.0,642.0
26.0,539.0
35.0,642.0
36.0,636.0
13.0,316.0
36.0,622.0
33.0,641.0
31.0,618.0
25.0,532.0
26.0,556.0
25.0,526.0
35.0,640.0
23.0,496.0
27.0,541.0
29.0,581.0
40.0,680.0
20.0,463.0
36.0,631.0
25.0,500.0
27.0,556.0
28.0,559.0
25.0,536.0
28.0,555.0
36.0,644.0
30.0,589.0
21.0,452.0
28.0,588.0
28.0,565.0
27.0,559.0
36.0,655.0
31.0,599.0
27.0,546.0
28.0,565.0
31.0,592.0
35.0,640.0
40.0,668.0
34.0,620.0
33.0,611.0
24.0,513.0
24.0,510.0
28.0,565.0
35.0,605.0
33.0,604.0
29.0,572.0
28.0,580.0
36.0,660.0
17.0,390.0
27.0,540.0
30.0,586.0
26.0,521.0
32.0,634.0
33.0,610.0
30.0,578.0
23.0,501.0
26.0,522.0
31.0,614.0
25.0,510.0
31.0,605.0
25.0,535.0
22.0,477.0
23.0,495.0
30.0,594.0
33.0,596.0
34.0,633.0
27.0,554.0
22.0,499.0
23.0,491.0
40.0,661.0
34.0,634.0
24.0,529.0
21.0,494.0
27.0,556.0
35.0,616.0
30.0,560.0
37.0,659.0
39.0,685.0
29.0,542.0
34.0,621.0
32.0,606.0
35.0,656.0
33.0,633.0
33.0,608.0
23.0,488.0
32.0,606.0
33.0,603.0
30.0,572.0
18.0,409.0
30.0,563.0
25.0,533.0
22.0,471.0
35.0,628.0
19.0,425.0
27.0,556.0
36.0,638.0
33.0,601.0
30.0,572.0
35.0,635.0
24.0,467.0
25.0,518.0
29.0,599.0
31.0,575.0
26.0,530.0
29.0,571.0
29.0,568.0
34.0,621.0
28.0,563.0
28.0,559.0
20.0,472.0
27.0,534.0
38.0,642.0
30.0,569.0
35.0,656.0
32.0,606.0
27.0,518.0
30.0,585.0
27.0,537.0
33.0,615.0
29.0,579.0
34.0,616.0
38.0,681.0
25.0,556.0
30.0,603.0
22.0,490.0
33.0,612.0
34.0,651.0
32.0,617.0
39.0,669.0
32.0,623.0
29.0,599.0
30.0,573.0
22.0,479.0
31.0,572.0
30.0,621.0
28.0,567.0
29.0,583.0
29.0,561.0
29.0,561.0
37.0,652.0
44.0,717.0
27.0,558.0
31.0,580.0
41.0,704.0
41.0,695.0
34.0,660.0
26.0,518.0
30.0,591.0
33.0,617.0
23.0,497.0
33.0,607.0
27.0,506.0
27.0,511.0
31.0,585.0
34.0,633.0
34.0,630.0
30.0,588.0
32.0,608.0
27.0,547.0
32.0,611.0
35.0,644.0
34.0,608.0
34.0,638.0
31.0,595.0
29.0,567.0
37.0,642.0
39.0,673.0
29.0,560.0
31.0,586.0
30.0,573.0
35.0,634.0
25.0,520.0
28.0,573.0
24.0,518.0
22.0,486.0
30.0,595.0
31.0,598.0
28.0,549.0
36.0,632.0
30.0,597.0
30.0,597.0
30.0,592.0
39.0,684.0
29.0,579.0
27.0,545.0
31.0,592.0
28.0,558.0
36.0,656.0
35.0,652.0
32.0,595.0
25.0,507.0
30.0,587.0
27.0,530.0
24.0,505.0
30.0,623.0
34.0,620.0
34.0,625.0
27.0,569.0
28.0,565.0
27.0,556.0
26.0,550.0
25.0,531.0
32.0,625.0
19.0,445.0
30.0,574.0
33.0,616.0
32.0,629.0
31.0,588.0
27.0,542.0
30.0,582.0
26.0,552.0
30.0,578.0
35.0,630.0
37.0,662.0
35.0,646.0
40.0,666.0
30.0,563.0
26.0,525.0
30.0,564.0
34.0,617.0
26.0,541.0
34.0,627.0
27.0,527.0
29.0,551.0
30.0,579.0
25.0,494.0
26.0,540.0
35.0,639.0
31.0,622.0
31.0,592.0
25.0,522.0
30.0,596.0
26.0,539.0
27.0,545.0
20.0,450.0
35.0,632.0
