p1,p2,p3,p4,p5,sd_p1,sd_p2,sd_p3,sd_p4,sd_p5
0.0400753953953954,0.7668994194194194,0.19302518518518513,0.0,0.0,0.0002764892466401736,0.003987408208865255,0.004261660691142692,0.0,0.0
0.04213825825825826,0.7952558558558556,0.16260588588588587,0.0,0.0,0.00027720625780682065,0.003554753234460377,0.0038284272352737047,0.0,0.0
0.044241081081081095,0.8204602602602603,0.1352986586586587,0.0,0.0,0.00032455881275359117,0.0037147086400799736,0.004036307849564291,0.0,0.0
0.046659579579579585,0.8449924324324324,0.10834798798798799,0.0,0.0,0.0002449609429235341,0.00235851970195045,0.0025985242075562518,0.0,0.0
0.04903759759759759,0.8647992392392392,0.08616316316316316,0.0,0.0,0.0003058657840873056,0.002295901575208418,0.002595396647520911,0.0,0.0
0.05158614614614614,0.8818947347347347,0.06651911911911909,0.0,0.0,0.00030905504799894415,0.0018808141672444975,0.0021810537917375003,0.0,0.0
0.05429213213213213,0.8960199799799802,0.04968788788788791,0.0,0.0,0.00030348547837427025,0.0014435540533719452,0.0017362481774108368,0.0,0.0
0.057084084084084094,0.9065778578578579,0.036338058058058065,0.0,0.0,0.00031202362502763824,0.0010551446160925616,0.0013590530169100387,0.0,0.0
0.05997165165165165,0.9142997797797798,0.025728568568568567,0.0,0.0,0.000366318330351109,0.0008627593685380792,0.0012149898800807443,0.0,0.0
0.06304936936936936,0.9193262862862863,0.01762434434434434,0.0,0.0,0.00040968148079548677,0.0005973576233028083,0.000976719639947655,0.0,0.0
0.06626134134134133,0.9221318518518519,0.011606806806806808,0.0,0.0,0.000281697131197298,0.0002824579743481335,0.0005099294470334322,0.0,0.0
0.06973589589589589,0.9230676676676677,0.007196436436436436,0.0,0.0,0.00037746292175742577,0.00015561477668233102,0.00039663319209630053,0.0,0.0
0.07330294294294297,0.9224306706706707,0.004266386386386387,0.0,0.0,0.0003455443785336333,0.00016631827232865964,0.00023824026735527572,0.0,0.0
0.07701637637637637,0.9205411011011012,0.002442522522522523,0.0,0.0,0.00033869738642659325,0.00021689837814387175,0.0001559574848148361,0.0,0.0
0.0810337137137137,0.9176751551551554,0.0012911311311311314,0.0,0.0,0.0004504666314204524,0.0003767015308244209,9.886996381009612e-5,0.0,0.0
0.08516952952952955,0.914191991991992,0.0006384784784784786,0.0,0.0,0.00043156442239600213,0.0003964812485106952,5.545137696204973e-5,0.0,0.0
0.08963159159159158,0.9100751551551552,0.0002932532532532532,0.0,0.0,0.0004025542141025343,0.00037934295868031185,3.651684982359936e-5,0.0,0.0
0.09420840840840838,0.9056726326326323,0.00011895895895895899,0.0,0.0,0.00043144226176704514,0.00042640412511003124,1.5607808894497433e-5,0.0,0.0
0.09920000000000004,0.9007539139139138,4.608608608608609e-5,0.0,0.0,0.0004158247454833166,0.00041170157700874416,1.0260118255651245e-5,0.0,0.0
0.1040886086086086,0.8958959359359361,1.5455455455455452e-5,0.0,0.0,0.0004207634438601973,0.00041966066387742485,5.501920048693743e-6,0.0,0.0
0.10953861861861862,0.8904562562562559,5.1251251251251235e-6,0.0,0.0,0.0005464834926422181,0.0005459163765001707,3.2649159314355127e-6,0.0,0.0
0.11524396396396394,0.8847547947947949,1.2412412412412412e-6,0.0,0.0,0.00040204861067279874,0.0004026139483871585,1.662249802570615e-6,0.0,0.0
0.12117725725725723,0.8788225825825825,1.6016016016016014e-7,0.0,0.0,0.00043834187425721314,0.00043838622395286485,5.486436749106502e-7,0.0,0.0
0.1273517117117117,0.8726482482482483,4.0040040040040034e-8,0.0,0.0,0.0004467651634544736,0.00044672695373543063,2.831258383129319e-7,0.0,0.0
0.13398718718718722,0.8660127727727729,4.0040040040040034e-8,0.0,0.0,0.0005271741728584,0.0005272379225551308,2.8312583831293157e-7,0.0,0.0
0.14082862862862863,0.8591713713713712,0.0,0.0,0.0,0.00046453705954115337,0.0004645370595411533,0.0,0.0,0.0
0.14811219219219218,0.8518878078078079,0.0,0.0,0.0,0.0005612753914970206,0.0005612753914970237,0.0,0.0,0.0
0.1558307107107107,0.8441692892892892,0.0,0.0,0.0,0.0005220421374318687,0.0005220421374318627,0.0,0.0,0.0
0.16378718718718713,0.8362128128128127,0.0,0.0,0.0,0.0005580070437919357,0.000558007043791939,0.0,0.0,0.0
0.17212532532532537,0.8278746746746748,0.0,0.0,0.0,0.0005496480556516758,0.0005496480556516753,0.0,0.0,0.0
0.18111347347347345,0.8188865265265265,0.0,0.0,0.0,0.0004912303963282826,0.0004912303963282886,0.0,0.0,0.0
0.19032836836836836,0.8096716316316318,0.0,0.0,0.0,0.0005996438471836508,0.0005996438471836463,0.0,0.0,0.0
0.20026862862862857,0.7997313713713714,0.0,0.0,0.0,0.0004908827610438237,0.000490882761043822,0.0,0.0,0.0
0.21037045045045044,0.7896295495495492,0.0,0.0,0.0,0.0006619241630451922,0.0006619241630451856,0.0,0.0,0.0
0.22141821821821822,0.7785817817817818,0.0,0.0,0.0,0.0005954711398509582,0.000595471139850965,0.0,0.0,0.0
0.23277877877877873,0.7672212212212212,0.0,0.0,0.0,0.0005221574197811131,0.0005221574197811124,0.0,0.0,0.0
0.24465141141141136,0.7553485885885882,0.0,0.0,0.0,0.0005921866271358471,0.0005921866271358427,0.0,0.0,0.0
0.2576732332332332,0.7423267667667666,0.0,0.0,0.0,0.0006320354337684416,0.0006320354337684386,0.0,0.0,0.0
0.2707591991991991,0.7292408008008008,0.0,0.0,0.0,0.0005263319591171193,0.0005263319591171246,0.0,0.0,0.0
0.28482358358358356,0.7151764164164165,0.0,0.0,0.0,0.000543065351548537,0.0005430653515485372,0.0,0.0,0.0
0.29916472472472466,0.7008352752752752,0.0,0.0,0.0,0.0007099170385654781,0.0007099170385654892,0.0,0.0,0.0
0.31476656656656665,0.6852334334334335,0.0,0.0,0.0,0.0005911929960714761,0.0005911929960714782,0.0,0.0,0.0
0.3310922922922923,0.6689077077077077,0.0,0.0,0.0,0.0006342443091642842,0.0006342443091642804,0.0,0.0,0.0
0.3481099899899898,0.65189001001001,0.0,0.0,0.0,0.0007514719868447853,0.0007514719868447754,0.0,0.0,0.0
0.3661108308308309,0.6338891691691692,0.0,0.0,0.0,0.0006981375077056023,0.0006981375077055986,0.0,0.0,0.0
0.38497845845845846,0.6150215415415414,0.0,0.0,0.0,0.0007090208177212138,0.0007090208177212142,0.0,0.0,0.0
