k_avg,Δλ_avg,σ_Δλ
7.0,0.025102997794333226,0.0001672364467666928
8.0,0.03598209299033436,0.00024974025697087755
8.0,0.035985042252942454,0.00024862788507927746
9.0,0.04840083548673613,0.0003877268490745037
10.0,0.06251574242932703,0.0003334018316967253
11.0,0.0785020212579143,0.0004111961300854236
13.0,0.11482850177884645,0.0003761077851923113
14.0,0.13500492463284802,0.0005422956735047864
16.0,0.17924343740334772,0.0006148767669673338
17.0,0.20251126060292357,0.0005418261401769423
19.0,0.25192373731705237,0.0004985993451305918
21.0,0.30336460382804775,0.0007749661903434109
23.0,0.3570360302877653,0.0007364675171409132
26.0,0.43586319564303366,0.0006765458771126455
29.0,0.5140075461130456,0.0007632573796781867
32.0,0.5863472960652467,0.0002494904393729009
35.0,0.6527467634315387,0.0011874320390920844
39.0,0.7273775251715794,0.0026326236665052813
43.0,0.7881049032283263,0.0021830049790153567
48.0,0.8446166395079292,0.002756980399668015
53.0,0.8845140284204606,0.001221058985532485
58.0,0.9086926782379491,0.0005600379480379309
64.0,0.924318203195253,0.0013652180376277528
71.0,0.9310686514504749,0.0007481413097150299
79.0,0.9305648804179956,0.0003963802662032214
87.0,0.9263322245988617,0.0004473834828790193
97.0,0.9189956983668631,0.0005190937441006684
107.0,0.9104633623314126,0.0006057156381213932
118.0,0.9020723095594816,9.604491038999824e-5
131.0,0.8900372177010155,0.00012824239335387726
145.0,0.8770199101223758,0.00015763080775778424
161.0,0.8618750539994696,0.00014627488373384264
178.0,0.8458310747522384,9.338752152689354e-5
197.0,0.8277619784272335,0.00018792761270860952
218.0,0.8077125039836405,0.00014490542463270166
241.0,0.7855555805680263,0.00015328823152146065
267.0,0.7604299328914711,0.00011929007806194095
295.0,0.733305885311955,0.00020781739917606542
327.0,0.7020349207429526,0.00018610628279751724
362.0,0.6677088382849096,0.00015427227856858075
401.0,0.6293724986455871,0.000143859714341509
443.0,0.5877820909345797,0.00014613760643799153
491.0,0.5398573200594905,0.0002176533321018092
543.0,0.48778042094671903,0.00014895300521494437
601.0,0.4291432269721261,0.0001462597021270142
666.0,0.36291346070899727,0.0001862459826319797
737.0,0.2898571800256658,0.00016022499689984814
815.0,0.20840806098581927,7.857993509030011e-5
903.0,0.11457703098616293,0.00011429020934225476
999.0,5.684341886080802e-16,8.838699757757696e-16
